Participant,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time
11,1,18.259999591857202,2,66.75999850779769,3,86.6399980634447,15.0,313.2599929980937,14.0,352.49999212101073,13.0,378.35999154299475,12.0,387.4999913386997,11.0,409.3599908500907,6.0,499.45998883619876,10.0,508.7599886283277,9.0,519.0999883972107,8.0,543.7399878464637,7.0,559.5199874937537,4.0,627.2399859800937,5.0,629.4199859313667
12,1,10.359999768435898,2,48.179998923093,3,67.4599984921515,5.0,269.0199939869343,4.0,273.0199938975273,7.0,326.8199926950033,8.0,347.7999922260643,6.0,362.3599919006233,9.0,379.5599915161733,10.0,396.3799911402163,11.0,435.1199902743103,12.0,452.9399898760023,13.0,489.27998906373927,14.0,518.2799884155394,15.0,542.6599878706033
13,1,11.439999744296088,2,46.719998955726595,3,70.7999984174966,15.0,271.0199939422306,14.0,309.8799930736426,13.0,357.2799920141696,12.0,401.5399910248816,11.0,436.6799902394416,6.0,606.3999864459036,7.0,618.7799861691896,8.0,635.8999857865276,9.0,656.1199853345755,10.0,682.0199847556655,5.0,988.8999778963675,4.0,991.0799778476376
14,1,13.979999687522593,2,27.899999376386404,3,40.33999909833069,15.0,232.49999480321992,14.0,244.8599945269529,13.0,257.5999942421909,12.0,271.4199939332899,11.0,284.1199936494229,10.0,324.8799927383659,9.0,332.95999255776394,8.0,334.4799925237889,7.0,354.1199920848009,6.0,366.3399918116629,4.0,410.2799908295269,5.0,413.23999076336594
15,1,11.599999740719795,2,35.3999992087484,3,48.6599989123643,12.0,251.3199943825603,11.0,293.7999934330583,13.0,309.2399930879473,14.0,322.4399927929043,15.0,345.0999922864143,10.0,376.9199915751813,9.0,384.05999141559033,8.0,394.4999911822383,7.0,407.2599908970293,6.0,417.5799906663593,4.0,470.01998949423427,5.0,474.0999894030393
16,1,16.4599996320903,2,38.6399991363287,3,59.999998658895805,7.0,351.51999214291584,6.0,353.91999208927183,8.0,377.7599915564058,9.0,385.7999913766978,10.0,398.0799911022188,11.0,429.97999038919784,12.0,437.3599902242418,13.0,470.99998947232984,14.0,487.07998911291384,15.0,494.77998894080486,5.0,751.2199832089249,4.0,754.1599831432109
17,1,20.1999995484948,2,70.5199984237557,3,92.8599979244177,15.0,330.2199926190077,14.0,336.0999924875797,13.0,364.5599918514487,12.0,381.5199914723637,11.0,406.81999090686475,10.0,424.4999905116857,9.0,451.2999899126587,8.0,453.1599898710847,7.0,500.6799888089297,6.0,519.6799883842467,4.0,842.7399811632927,5.0,856.0999808646736
18,1,7.819999825209948,3,23.27999947965202,2,31.239999301731928,15.0,119.83999732136692,14.0,124.53999721631396,13.0,139.73999687656794,12.0,151.41999661549903,11.0,175.81999607011699,10.0,197.47999558597803,9.0,203.63999544829096,8.0,213.47999522834994,7.0,221.25999505445395,6.0,232.11999481171392,4.0,335.0999925099351,5.0,339.11999242007494
19,1,17.799999602138996,2,33.43999925255798,3,44.71999900042999,5.0,243.09999456629203,4.0,245.91999450326,7.0,304.69999318942405,6.0,320.359992839396,8.0,329.999992623925,9.0,340.93999237939704,10.0,349.759992182255,11.0,373.319991655648,12.0,386.09999136999306,13.0,406.619990911335,14.0,419.219990629707,15.0,430.25999038293696
20,1,21.01999953016002,2,32.09999928251,3,47.23999894410008,6.0,380.65999149158006,7.0,388.71999131143,8.0,401.49999102576976,9.0,419.3199906274599,10.0,432.09999034180964,11.0,453.27998986839975,12.0,469.03998951613994,13.0,488.59998907893987,14.0,508.71998862921964,15.0,527.1599882170499,4.0,899.0399799048896,5.0,901.6399798467696
21,1,9.679999783640596,2,55.17999876662998,3,77.91999825835046,15.0,303.73999321088013,14.0,320.81999282912057,13.0,357.0599920190907,12.0,387.43999134004025,11.0,432.03999034315075,6.0,489.2399890646402,7.0,500.85998880491024,8.0,520.8599883578709,9.0,534.4799880534401,10.0,553.0199876390407,4.0,742.3199834078605,5.0,754.7599831298003
