008,Timestep,x,y,z
81,1.6199999637901996,4.6595864971321195,-10.496741653157194,-20.37327263
82,1.6399999633432003,4.8791951808473755,-10.593613217276147,-20.37327263
83,1.6599999628960944,5.098793215960377,-10.690462496708207,-20.37327263
84,1.679999962449095,5.316484014303969,-10.791539450785434,-20.37327263
85,1.6999999620020958,5.534153037503332,-10.89257628201264,-20.37327263
86,1.719999961554997,5.751676235841072,-10.9940031492763,-20.37327263
87,1.7399999611079977,5.96917696259011,-11.095429850103255,-20.37327263
88,1.7599999606609984,6.18670677864545,-11.196870472577336,-20.37327263
89,1.7799999602138996,6.404235753190011,-11.298310554811097,-20.37327263
90,1.7999999597669003,6.621753486823944,-11.39974223216959,-20.37327263
91,1.819999959319901,6.839288934019798,-11.501155572960137,-20.37327263
92,1.839999958872795,7.0568187500751405,-11.60259619543422,-20.37327263
93,1.8599999584257958,7.2743206196054215,-11.704024818252595,-20.37327263
94,1.8799999579787965,7.470069388977963,-11.795321780272891,-20.37327263
95,1.8999999575316977,7.665854561818889,-11.886606462737419,-20.37327263
96,1.9199999570846984,7.764512462516211,-11.959061833718437,-20.3171966
97,1.939999956637699,7.863169521702752,-12.031516664459136,-20.2650439
98,1.9599999561906003,7.940954123752925,-12.111315259771938,-20.216816599999998
99,1.979999955743601,8.018738185562778,-12.19111469659552,-20.1725127
100,1.9999999552965946,8.075766779794758,-12.278462532893418,-20.1321323
101,2.019999954849496,8.122818784614367,-12.369474308150554,-20.0956771
102,2.0399999544024965,8.149135908762396,-12.468487384835289,-20.0631454
103,2.059999953955497,8.175452731639965,-12.56749907976892,-20.034537
104,2.0799999535083984,8.182133443156548,-12.674625680716733,-20.0098521
105,2.099999953061399,8.188813313162349,-12.781751741424229,-19.9890926
106,2.1199999526143003,8.176952931482075,-12.897621728704319,-19.9722564
107,2.139999952167301,8.13550681055182,-13.010272257229865,-19.9593436
108,2.1599999517202946,8.086200922848377,-13.103292778303524,-19.950356199999998
109,2.179999951273196,8.036894679850441,-13.19631200177716,-19.945292199999997
110,2.1999999508261965,7.980975891965203,-13.27149014265126,-19.944151599999998
111,2.219999950379197,7.92257201935125,-13.339275694976614,-19.946936299999997
112,2.2399999499320984,7.853799287869157,-13.3893459952128,-19.9536445
113,2.259999949485099,7.78502723582575,-13.439417088142543,-19.964275999999998
114,2.2799999490380998,7.706364649068512,-13.47549624431269,-19.9788329
115,2.299999948591001,7.627701846215144,-13.511575737087153,-19.997313199999997
116,2.3199999481439946,7.528315890774521,-13.561350535557295,-20.0197169
117,2.3399999476969953,7.428927971387366,-13.611124691132403,-20.0460441
118,2.3599999472498965,7.322480586191403,-13.670976984874013,-20.076296499999998
119,2.379999946802897,7.199533675841877,-13.746391849558611,-20.1104724
120,2.399999946355898,7.069738706444813,-13.831785080017795,-20.148571699999998
121,2.419999945908799,6.9579353804946455,-13.936065901180127,-20.1905963
122,2.4399999454617998,6.846131321081759,-14.040346013799983,-20.2365443
123,2.4599999450148005,6.749795003973115,-14.159069195148458,-20.2864158
124,2.4799999445676946,6.675691820884815,-14.295659569373079,-20.340212599999997
125,2.4999999441206953,6.601589371259233,-14.432250652140176,-20.397932739999998
126,2.5199999436735965,6.558105187929646,-14.587352753815681,-20.37820312
127,2.539999943226597,6.532205849031223,-14.750281305410006,-20.37425682
128,2.559999942779598,6.5243111204701405,-14.917156112394006,-20.37346909
129,2.579999942332499,6.5164410039939415,-15.083994433143918,-20.37331078
130,2.5999999418854998,6.5321421756785085,-15.245002953687807,-20.373280259999998
131,2.6199999414385005,6.547813728049,-15.406015037409182,-20.37327454
132,2.6399999409913946,6.582969465652838,-15.644662659351095,-20.373270719999997
133,2.6599999405443953,6.641441055270601,-15.877450776291312,-20.373270719999997
134,2.679999940097396,6.699913486399144,-16.110239433471847,-20.373270719999997
135,2.699999939650297,6.758353950350524,-16.343024204834038,-20.373270719999997
136,2.719999939203298,6.8168381421649125,-16.5757871387514,-20.373270719999997
137,2.7399999387562985,6.8753277363825065,-16.808541657560944,-20.373270719999997
138,2.7599999383091998,6.957099978752063,-17.03547358347454,-20.373270719999997
139,2.7799999378622005,7.038841334425097,-17.262399940548228,-20.373270719999997
140,2.799999937415201,7.146707285776397,-17.445626988180607,-20.373270719999997
141,2.8199999369680953,7.254613972751197,-17.628851667484795,-20.373270719999997
142,2.839999936521096,7.371246236166607,-17.797466799233398,-20.373270719999997
143,2.8599999360740966,7.505274173241647,-17.93702329476266,-20.373270719999997
144,2.879999935626998,7.63933545924495,-18.07658337483981,-20.373270719999997
145,2.8999999351799985,7.782114904295985,-18.201489930295953,-20.373270719999997
146,2.9199999347329992,7.942301139316069,-18.297339044382053,-20.373270719999997
147,2.9399999342859005,8.111179538642602,-18.378667676221696,-20.373270719999997
148,2.959999933838901,8.297522139383759,-18.430793908332046,-20.373270719999997
149,2.9799999333917953,8.483869144813184,-18.482950299996787,-20.373270719999997
150,2.999999932944796,8.679103306711628,-18.519542066677445,-20.373270719999997
151,3.0199999324977966,8.89174894632255,-18.5213123927666,-20.373270719999997
152,3.039999932050698,9.118091811065792,-18.475999297520058,-20.373270719999997
153,3.0599999316036985,9.344443319654161,-18.430672738101002,-20.373270719999997
154,3.0799999311566992,9.56975287425794,-18.34463617675498,-20.373270719999997
155,3.0999999307096004,9.781498172694182,-18.280375975610365,-20.373270719999997
156,3.119999930262601,9.981019199781233,-18.206891835286562,-20.373270719999997
157,3.1399999298155947,10.158100107404028,-18.138689793260774,-20.373270719999997
